price,brand,name,city,body,engineVolume,mileage,transmission,steeringWheel,color,driveUnit
2200000,Hyundai,Getz,Астана,хэтчбек,1.4 (бензин),250 000 км,механика,слева,серебристый металлик,передний привод
20700000,Hyundai,Sonata,Алматы,седан,2.5 (бензин),NaN,автомат,слева,черный металлик,передний привод
5750000,Hyundai,Sonata,Алматы,седан,2.4 (бензин),190 000 км,автомат,слева,черный металлик,передний привод
1299999,Hyundai,Accent,Астана,седан,1.5 (бензин),255 566 км,механика,слева,золотистый,передний привод
34300000,Hyundai,Palisade,Караганда,внедорожник,3.5 (бензин),24 км,автомат,слева,серый металлик,полный привод
8400000,Hyundai,Elantra,Шымкент,седан,2 (бензин),70 000 км,автомат,слева,NaN,передний привод
25900000,Hyundai,H-1,Алматы,минивэн,2.5 (бензин),8 500 км,автомат,слева,белый,задний привод
13000000,Hyundai,Creta,Шымкент,кроссовер,1.6 (бензин),17 448 км,автомат,слева,белый,передний привод
15800000,Hyundai,Sonata,Алматы,седан,2.5 (бензин),39 000 км,автомат,слева,серый,передний привод
1650000,Daewoo,Nexia,Тараз,седан,1.5 (бензин),182 000 км,механика,слева,золотистый,передний привод
14500000,Kia,Seltos,Усть-Каменогорск,кроссовер,2 (бензин),7 200 км,автомат,слева,серый металлик,передний привод
14800000,Kia,K5,Алматы,седан,2 (бензин),25 000 км,автомат,слева,синий металлик,передний привод
6300000,Hyundai,Sonata,Атырау,седан,2.4 (бензин),116 000 км,автомат,слева,черный,передний привод
28000000,Kia,Sorento,Алматы,кроссовер,2.5 (бензин),3 000 км,автомат,слева,белый,передний привод
1700000,Hyundai,Sonata,Уральск,седан,2 (бензин),250 000 км,автомат,слева,серый,передний привод
5000000,Hyundai,Accent,Шымкент,седан,1.6 (бензин),NaN,автомат,слева,красный,передний привод
9000000,Kia,K3,Астана,седан,2 (бензин),65 000 км,автомат,слева,серый металлик,передний привод
8500000,Kia,Optima,Атырау,седан,2.4 (бензин),80 000 км,автомат,слева,черный,передний привод
25300000,Hyundai,Tucson,Алматы,кроссовер,2.5 (бензин),20 км,автомат,слева,NaN,полный привод
6100000,Kia,Cerato,Шымкент,седан,1.6 (бензин),NaN,автомат,слева,белый,передний привод
